LK_Name,Wetter_ID, Neighbor1, Neighbor2, Neighbor3, Neighbor4, Neighbor5, Neighbor6, Neighbor7, Neighbor8
Flensburg,10033
Rhein-Pfalz-Kreis,NA,Rhein-Neckar-Kreis,Landkreis Karlsruhe,Worms,Frankenthal (Pfalz), Südliche Weinstraße
Mainz-Bingen,D3137
Südwestpfalz,EDIV0
Stuttgart,10739
Böblingen,D4160
Esslingen,NA,Reutlingen,Böblingen,Stuttgart
Göppingen,NA,Ostalbkreis,Heidenheim,Alb-Donau-Kreis,Reutlingen
Ludwigsburg,10739
Rems-Murr-Kreis,NA,Stuttgart,Ludwigsburg,Heilbronn,Schwäbisch Hall,Ostalbkreis
Heilbronn,D3734
Landkreis Heilbronn,D3734
Hohenlohekreis,10742
Schwäbisch Hall,EDTY0
Main-Tauber-Kreis,D3257
Heidenheim,D7331
Ostalbkreis,D1197
Baden-Baden,D0257
Karlsruhe,10727
Landkreis Karlsruhe, 10727
Rastatt,10702
Heidelberg,NA,Rhein-Neckar-Kreis,Mannheim
Mannheim,10729
Neckar-Odenwald-Kreis,D0755
Rhein-Neckar-Kreis,10735
Pforzheim,D3925
Calw,D5562
Enzkreis,10736
Freudenstadt,10815
Freiburg im Breisgau,10803
Breisgau-Hochschwarzwald,D0259
Emmendingen,D1224
Rottweil,D4300
Schwarzwald-Baar-Kreis,D5229
Tuttlingen,10818
Konstanz,10929
Lörrach,EDTR0
Waldshut,06666
Reutlingen,D3278
Tübingen,NA,Böblingen,Reutlingen,Zollernalbkreis,Freudenstadt,Calw
Zollernalbkreis,10827
Ulm,10838
Alb-Donau-Kreis,10837
Biberach,10837
Bodenseekreis,10935
Ravensburg,D4094
Sigmaringen,10828
Ingolstadt,D2700
München,10865
Landkreis München,10865
Altötting,D0808
Berchtesgadener Land,D7424
Bad Tölz-Wolfratshausen,NA,Garmisch-Partenkirchen,Weilheim-Schonau,München,Miesbach
Dachau,D0142
Ebersberg,D1103
Eichstätt,D1161
Erding,10866
Freising,10863
Fürstenfeldbruck,10858
Garmisch-Partenkirchen,10963
Landsberg am Lech,10857
Miesbach,D2319
Mühldorf am Inn,10875
Neuburg-Schrobenhausen,10853
Pfaffenhofen an der Ilm,NA,Ingolstadt,Eichstätt,Kelheim,Freising,Dachau,Neuburg-Schrobenhausen
Rosenheim,D4261
Landkreis Rosenheim,D4261
Starnberg,NA,Fürstenfeldbruck,München,Weilheim-Schongau,Landsberg am Lech
Weilheim-Schongau,D5538
Traunstein,D7105
Landshut,D3710
Passau,10893
Straubing,10788
Deggendorf,EDMW0
Freyung-Grafenau,D1735
Kelheim,D7075
Landkreis Landshut,D3710
Landkreis Passau,10893
Regen,10776
Rottal-Inn,D1332
Straubing-Bogen,10788
Dingolfing-Landau,10872
Amberg,10771
Regensburg,10776
Weiden in der Oberpfalz,10688
Amberg-Sulzbach,10771
Cham,D4559
Neumarkt in der Oberpfalz,D3875
Neustadt an der Waldnaab,10688
Landkreis Regensburg,10776
Schwandorf,D4592
Tirschenreuth,D5046
Bamberg,10675
Bayreuth,D0320
Coburg,10671
Hof,10685
Landkreis Bamberg,10675
Landkreis Bayreuth,D0320
Landkreis Coburg,10671
Forchheim,D1279
Landkreis Hof,10685
Kronach,D2750
Kulmbach,NA,Kronach,Hof,Bayreuth,Litchenfels
Lichtenfels,NA,Coburg,Kronach,Kulbach,Bayreuth,Bamberg
Wunsiedel im Fichtelgebirge,10686
Ansbach,10755
Erlangen,D1279
Fürth,10763
Nürnberg,10763
Schwabach,10765
Landkreis Ansbach,10755
Erlangen-Höchstadt,D1279
Landkreis Fürth,10763
Nürnberger Land,10763
Neustadt an der Aisch-Bad Windsheim,D5149
Roth,10765
Weißenburg-Gunzenhausen,10761
Aschaffenburg,D4411
Schweinfurt,D6347
Würzburg,10655
Landkreis Aschaffenburg,D4411
Bad Kissingen,10658
Rhön-Grabfeld,D3836
Haßberge,D3612
Kitzingen,D2600
Miltenberg,D3319
Main-Spessart,D6336
Landkreis Schweinfurt,D6347
Landkreis Würzburg,10655
Augsburg,10852
Kaufbeuren,MX3JY
Kempten (Allgäu),10946
Memmingen,10947
Aichach-Friedberg,NA,Donau-Ries,Neuburg-Schrobenhausen,Dachau,Fürstenfeldbruck,Landsberg am Lech, Landkreis Augsburg, Augsburg
Landkreis Augsburg,10852
Dillingen an der Donau,D0983
Günzburg,EDMG0
Neu-Ulm,10838
Lindau,NA,Bodenseekreis,Landkreis Ravensburg
Ostallgäu,NA,Landkreis Augsburg,Oberallgäu,Landsberg am Lech,Weilheim-Schongau,Garmisch-Partenkirchen
Unterallgäu,NA,Neu-Ulm,Günzurg,Augsburg,Oberallgäu,Ravensburg,Biberach,Memmingen
Donau-Ries,D7319
Oberallgäu,10948
Regionalverband Saarbrücken,D6217
Merzig-Wadern,D5433
Neunkirchen,D3545
Saarlouis,10704
Saarpfalz-Kreis,NA,Regionalverband Saarbrücken, Neunkirchen, Kaiserslautern, Südwestpfalz, Zweibrücken,
St. Wendel,NA,Trier-Saarburg,Birkenfeld,Neunkirchen,Saarlouis,Merzig-Wadern
Berlin,10389
Brandenburg an der Havel,D6265
Cottbus - Chóśebuz,10492
Frankfurt (Oder),12310
Potsdam,10379
Barnim,NA,Uckermark,Oberhavel,Berlin,Märkisch-Oderland
Dahme-Spreewald,D3083
Elbe-Elster,10490
Havelland,NA,Potsdam,Potsdam-Mittelmark,Brandenburg,Stendal,Jerichower Land
Märkisch-Oderland,D7389
Oberhavel,D5745
Oberspreewald-Lausitz,D2627
Oder-Spree,D6170
Ostprignitz-Ruppin,10270
Potsdam-Mittelmark,10368
Prignitz,D2951
Spree-Neiße,10493
Teltow-Fläming,EDBO0
Uckermark,10289
Rostock,10170
Schwerin,10162
Mecklenburgische Seenplatte,10281
Landkreis Rostock,10170
Vorpommern-Rügen,10093
Nordwestmecklenburg,D2578
Vorpommern-Greifswald,10184
Ludwigslust-Parchim,10264
Chemnitz,10577
Erzgebirgskreis,10579
Mittelsachsen,D0131
Vogtlandkreis,D7329
Zwickau,D5797
Dresden,D1050
Minden-Lübbecke, D4063
Bautzen,D0314
Görlitz,10499
Meißen,D3234
Sächsische Schweiz-Osterzgebirge,D0991
Leipzig,10471
Landkreis Leipzig,10471
Nordsachsen,D2641
Dessau-Roßlau,D7364
Halle (Saale),10466
Magdeburg,10361
Altmarkkreis Salzwedel,10359
Anhalt-Bitterfeld,D7364
Börde,10356
Burgenlandkreis,D7420
Harz,D6266
Jerichower Land,D1052
Mansfeld-Südharz,NA,Harz,Salzlandkreis,Saalekreis
Saalekreis,D2878
Salzlandkreis,D0445
Stendal,D6273
Wittenberg,10474
Erfurt,10554
Gera,10567
Jena,D2444
Suhl,10552
Weimar,10555
Eichsfeld,10449
Nordhausen,NA,Harz,Eichsfeld,Göttingen, Goslar
Wartburgkreis,10540
Unstrut-Hainich-Kreis,D6305
Kyffhäuserkreis,NA,Saalekreis,Burgenlandkreis
Schmalkalden-Meiningen,10548
Gotha,D5335
Sömmerda,D7321
Hildburghausen,D7428
Ilm-Kreis,D3204
Weimarer Land,10555
Sonneberg,10558
Saalfeld-Rudolstadt,D4605
Saale-Holzland-Kreis,NA, Burgenlandkreis,Groß-Gerau,Saale-Orla-Kreis,Weimarer Land, Jena,Saalfeld-Rudolstadt
Saale-Orla-Kreis,D3711
Greiz,D7419
Altenburger Land,D4997
